TYPE	DATE	START TIME	END TIME	USAGE	UNITS	COST	NOTES
Electric usage	07/25/2019	4:00	4:59	0.18	kWh	$0.04 	
Electric usage	07/25/2019	5:00	5:59	0.18	kWh	$0.04 	
Electric usage	07/25/2019	6:00	6:59	0.17	kWh	$0.04 	
Electric usage	07/25/2019	7:00	7:59	0.19	kWh	$0.04 	
Electric usage	07/25/2019	8:00	8:59	0.25	kWh	$0.06 	
Electric usage	07/25/2019	9:00	9:59	0.14	kWh	$0.03 	
Electric usage	07/25/2019	10:00	10:59	0.12	kWh	$0.03 	
Electric usage	07/25/2019	11:00	11:59	0.12	kWh	$0.03 	
Electric usage	07/25/2019	12:00	12:59	0.11	kWh	$0.03 	
Electric usage	07/25/2019	13:00	13:59	0.11	kWh	$0.03 	
Electric usage	07/25/2019	14:00	14:59	0.25	kWh	$0.06 	
Electric usage	07/25/2019	15:00	15:59	0.28	kWh	$0.06 	
Electric usage	07/25/2019	16:00	16:59	0.26	kWh	$0.06 	
Electric usage	07/25/2019	17:00	17:59	0.17	kWh	$0.04 	
Electric usage	07/25/2019	18:00	18:59	0.14	kWh	$0.03 	
Electric usage	07/25/2019	19:00	19:59	0.19	kWh	$0.04 	
Electric usage	07/25/2019	20:00	20:59	0.16	kWh	$0.04 	
Electric usage	07/25/2019	21:00	21:59	0.13	kWh	$0.03 	
Electric usage	07/25/2019	22:00	22:59	0.36	kWh	$0.08 	
Electric usage	07/25/2019	23:00	23:59	0.3	kWh	$0.07 	
Electric usage	07/26/2019	0:00	0:59	0.19	kWh	$0.04 	
Electric usage	07/26/2019	1:00	1:59	0.18	kWh	$0.04 	
Electric usage	07/26/2019	2:00	2:59	0.17	kWh	$0.04 	
Electric usage	07/26/2019	3:00	3:59	0.17	kWh	$0.04 	
Electric usage	07/26/2019	4:00	4:59	0.16	kWh	$0.04 	
Electric usage	07/26/2019	5:00	5:59	0.17	kWh	$0.04 	
Electric usage	07/26/2019	6:00	6:59	0.16	kWh	$0.03 	
Electric usage	07/26/2019	7:00	7:59	0.26	kWh	$0.06 	
Electric usage	07/26/2019	8:00	8:59	0.18	kWh	$0.04 	
Electric usage	07/26/2019	9:00	9:59	0.17	kWh	$0.04 	
Electric usage	07/26/2019	10:00	10:59	0.35	kWh	$0.08 	
Electric usage	07/26/2019	11:00	11:59	0.14	kWh	$0.03 	
Electric usage	07/26/2019	12:00	12:59	0.12	kWh	$0.03 	
Electric usage	07/26/2019	13:00	13:59	0.12	kWh	$0.03 	
Electric usage	07/26/2019	14:00	14:59	0.12	kWh	$0.03 	
Electric usage	07/26/2019	15:00	15:59	0.11	kWh	$0.02 	
Electric usage	07/26/2019	16:00	16:59	1.97	kWh	$0.44 	
Electric usage	07/26/2019	17:00	17:59	2.69	kWh	$0.60 	
Electric usage	07/26/2019	18:00	18:59	0.2	kWh	$0.04 	
Electric usage	07/26/2019	19:00	19:59	0.37	kWh	$0.08 	
Electric usage	07/26/2019	20:00	20:59	0.35	kWh	$0.08 	
Electric usage	07/26/2019	21:00	21:59	0.17	kWh	$0.04 	
Electric usage	07/26/2019	22:00	22:59	0.33	kWh	$0.07 	
Electric usage	07/26/2019	23:00	23:59	0.27	kWh	$0.06 	
Electric usage	07/27/2019	0:00	0:59	0.2	kWh	$0.05 	
Electric usage	07/27/2019	1:00	1:59	0.2	kWh	$0.04 	
Electric usage	07/27/2019	2:00	2:59	0.19	kWh	$0.04 	
Electric usage	07/27/2019	3:00	3:59	0.17	kWh	$0.04 	
Electric usage	07/27/2019	4:00	4:59	0.17	kWh	$0.04 	
Electric usage	07/27/2019	5:00	5:59	0.18	kWh	$0.04 	
Electric usage	07/27/2019	6:00	6:59	0.18	kWh	$0.04 	
Electric usage	07/27/2019	7:00	7:59	0.24	kWh	$0.05 	
Electric usage	07/27/2019	8:00	8:59	0.22	kWh	$0.05 	
Electric usage	07/27/2019	9:00	9:59	0.17	kWh	$0.04 	
Electric usage	07/27/2019	10:00	10:59	0.25	kWh	$0.06 	
Electric usage	07/27/2019	11:00	11:59	0.21	kWh	$0.05 	
Electric usage	07/27/2019	12:00	12:59	0.13	kWh	$0.03 	
Electric usage	07/27/2019	13:00	13:59	0.48	kWh	$0.11 	
Electric usage	07/27/2019	14:00	14:59	0.32	kWh	$0.07 	
Electric usage	07/27/2019	15:00	15:59	1.56	kWh	$0.35 	
Electric usage	07/27/2019	16:00	16:59	3.4	kWh	$0.76 	
Electric usage	07/27/2019	17:00	17:59	2.17	kWh	$0.49 	
Electric usage	07/27/2019	18:00	18:59	1.01	kWh	$0.23 	
Electric usage	07/27/2019	19:00	19:59	0.32	kWh	$0.07 	
Electric usage	07/27/2019	20:00	20:59	0.28	kWh	$0.06 	
Electric usage	07/27/2019	21:00	21:59	0.15	kWh	$0.03 	
Electric usage	07/27/2019	22:00	22:59	0.33	kWh	$0.07 	
Electric usage	07/27/2019	23:00	23:59	0.39	kWh	$0.09 	
Electric usage	07/28/2019	0:00	0:59	0.26	kWh	$0.06 	
Electric usage	07/28/2019	1:00	1:59	0.2	kWh	$0.05 	
Electric usage	07/28/2019	2:00	2:59	0.19	kWh	$0.04 	
Electric usage	07/28/2019	3:00	3:59	0.19	kWh	$0.04 	
Electric usage	07/28/2019	4:00	4:59	0.19	kWh	$0.04 	
Electric usage	07/28/2019	5:00	5:59	0.19	kWh	$0.04 	
Electric usage	07/28/2019	6:00	6:59	0.26	kWh	$0.06 	
Electric usage	07/28/2019	7:00	7:59	0.21	kWh	$0.05 	
Electric usage	07/28/2019	8:00	8:59	0.19	kWh	$0.04 	
Electric usage	07/28/2019	9:00	9:59	0.18	kWh	$0.04 	
Electric usage	07/28/2019	10:00	10:59	0.2	kWh	$0.04 	
Electric usage	07/28/2019	11:00	11:59	0.23	kWh	$0.05 	
Electric usage	07/28/2019	12:00	12:59	0.2	kWh	$0.04 	
Electric usage	07/28/2019	13:00	13:59	0.45	kWh	$0.10 	
Electric usage	07/28/2019	14:00	14:59	0.36	kWh	$0.08 	
Electric usage	07/28/2019	15:00	15:59	0.22	kWh	$0.05 	
Electric usage	07/28/2019	16:00	16:59	2.82	kWh	$0.63 	
Electric usage	07/28/2019	17:00	17:59	3.31	kWh	$0.74 	
Electric usage	07/28/2019	18:00	18:59	0.33	kWh	$0.07 	
Electric usage	07/28/2019	19:00	19:59	0.23	kWh	$0.05 	
Electric usage	07/28/2019	20:00	20:59	0.2	kWh	$0.04 	
Electric usage	07/28/2019	21:00	21:59	0.91	kWh	$0.20 	
Electric usage	07/28/2019	22:00	22:59	0.22	kWh	$0.05 	
Electric usage	07/28/2019	23:00	23:59	0.2	kWh	$0.04 	
